R,G,B,label,label_name
234,0,14,2,red
0,80,234,4,blue
9,7,32,7,black
218,235,247,6,white
132,29,176,3,violet
142,30,208,3,violet
219,128,24,1,orange
36,62,199,4,blue
30,31,31,7,black
230,210,0,0,yellow
13,73,225,4,blue
210,89,0,1,orange
109,40,225,3,violet
255,244,41,0,yellow
241,134,3,1,orange
9,37,16,7,black
203,26,5,2,red
245,241,248,6,white
213,230,247,6,white
145,0,194,3,violet
30,187,24,5,green
38,19,33,7,black
222,0,26,2,red
226,113,11,1,orange
241,230,218,6,white
0,76,188,4,blue
130,19,185,3,violet
143,1,186,3,violet
16,14,34,7,black
229,215,225,6,white
35,63,211,4,blue
105,1,202,3,violet
191,0,0,2,red
244,216,5,0,yellow
137,33,217,3,violet
32,2,10,7,black
193,2,1,2,red
43,181,5,5,green
254,128,27,1,orange
27,36,191,4,blue
28,24,17,7,black
215,116,8,1,orange
205,106,12,1,orange
13,31,6,7,black
107,12,187,3,violet
209,36,40,2,red
236,224,20,0,yellow
36,61,186,4,blue
220,227,36,0,yellow
10,13,30,7,black
240,236,0,0,yellow
238,238,248,6,white
241,245,225,6,white
250,105,23,1,orange
217,126,18,1,orange
214,96,0,1,orange
225,211,222,6,white
13,35,34,7,black
0,57,193,4,blue
240,229,25,0,yellow
195,0,9,2,red
35,82,207,4,blue
116,0,182,3,violet
130,44,185,3,violet
1,186,17,5,green
118,37,182,3,violet
225,236,226,6,white
231,210,246,6,white
18,174,9,5,green
227,247,222,6,white
194,0,32,2,red
139,20,202,3,violet
219,214,219,6,white
2,204,9,5,green
3,45,185,4,blue
230,217,239,6,white
244,244,236,6,white
254,96,30,1,orange
39,198,18,5,green
224,230,41,0,yellow
150,38,204,3,violet
237,225,228,6,white
255,217,0,0,yellow
0,64,233,4,blue
250,246,211,6,white
246,103,21,1,orange
223,17,29,2,red
234,219,227,6,white
13,201,48,5,green
0,203,31,5,green
12,72,224,4,blue
37,164,33,5,green
215,22,0,2,red
22,205,29,5,green
0,57,190,4,blue
222,227,213,6,white
37,199,19,5,green
17,200,41,5,green
34,9,25,7,black
202,22,33,2,red
11,63,216,4,blue
245,243,218,6,white
3,56,232,4,blue
211,96,0,1,orange
105,0,197,3,violet
251,232,0,0,yellow
0,169,25,5,green
235,202,42,0,yellow
0,172,40,5,green
132,27,182,3,violet
34,193,9,5,green
18,196,24,5,green
7,25,34,7,black
229,225,234,6,white
244,246,216,6,white
231,220,240,6,white
240,88,0,1,orange
255,238,0,0,yellow
253,204,0,0,yellow
218,233,242,6,white
27,178,48,5,green
224,91,3,1,orange
212,216,213,6,white
228,129,24,1,orange
0,73,219,4,blue
31,29,26,7,black
231,106,36,1,orange
16,3,16,7,black
223,237,39,0,yellow
113,0,187,3,violet
243,237,223,6,white
252,239,0,0,yellow
31,167,49,5,green
27,14,23,7,black
21,28,22,7,black
33,172,36,5,green
19,23,14,7,black
203,25,36,2,red
148,10,178,3,violet
10,6,31,7,black
219,0,38,2,red
217,245,243,6,white
194,31,26,2,red
254,213,43,0,yellow
222,249,223,6,white
0,68,213,4,blue
224,244,237,6,white
230,125,1,1,orange
249,228,221,6,white
11,166,51,5,green
239,111,38,1,orange
40,68,204,4,blue
213,235,218,6,white
10,14,4,7,black
204,27,0,2,red
188,9,26,2,red
211,0,34,2,red
218,225,242,6,white
124,21,218,3,violet
234,220,246,6,white
232,9,36,2,red
233,222,39,0,yellow
199,14,22,2,red
22,8,27,7,black
133,15,182,3,violet
254,125,29,1,orange
229,0,34,2,red
22,4,23,7,black
193,31,16,2,red
36,17,27,7,black
28,52,232,4,blue
213,121,14,1,orange
36,166,48,5,green
146,10,202,3,violet
243,243,0,0,yellow
187,27,1,2,red
215,246,246,6,white
40,164,28,5,green
2,62,222,4,blue
21,18,23,7,black
16,74,228,4,blue
112,28,192,3,violet
11,176,23,5,green
35,56,207,4,blue
9,35,32,7,black
229,3,29,2,red
118,26,201,3,violet
191,15,35,2,red
24,11,30,7,black
225,216,235,6,white
240,120,0,1,orange
211,224,238,6,white
44,196,17,5,green
12,60,190,4,blue
220,37,19,2,red
38,67,194,4,blue
128,35,220,3,violet
12,14,16,7,black
105,22,218,3,violet
198,31,32,2,red
255,238,22,0,yellow
192,1,10,2,red
235,214,27,0,yellow
243,129,2,1,orange
113,6,187,3,violet
31,199,39,5,green
244,210,8,0,yellow
27,8,24,7,black
233,213,243,6,white
33,34,38,7,black
251,209,29,0,yellow
19,66,226,4,blue
111,0,204,3,violet
234,245,12,0,yellow
255,196,10,0,yellow
17,55,205,4,blue
12,161,54,5,green
20,59,203,4,blue
231,207,6,0,yellow
233,215,42,0,yellow
210,37,0,2,red
35,166,26,5,green
24,71,187,4,blue
255,208,39,0,yellow
36,84,235,4,blue
35,176,11,5,green
219,214,228,6,white
238,135,16,1,orange
234,0,10,2,red
192,40,38,2,red
17,59,203,4,blue
14,168,19,5,green
26,70,197,4,blue
216,247,210,6,white
0,195,49,5,green
253,204,38,0,yellow
25,190,43,5,green
238,220,15,0,yellow
8,49,218,4,blue
191,0,40,2,red
16,24,16,7,black
246,231,217,6,white
210,126,24,1,orange
21,85,225,4,blue
33,157,53,5,green
209,23,33,2,red
249,222,210,6,white
125,38,196,3,violet
207,25,30,2,red
228,235,220,6,white
234,131,23,1,orange
129,36,225,3,violet
214,215,222,6,white
13,84,211,4,blue
224,250,227,6,white
36,52,190,4,blue
210,247,236,6,white
226,224,29,0,yellow
235,211,214,6,white
193,9,0,2,red
40,36,211,4,blue
143,42,175,3,violet
254,118,26,1,orange
0,175,37,5,green
137,2,203,3,violet
149,29,194,3,violet
250,232,211,6,white
145,14,180,3,violet
248,107,33,1,orange
212,102,39,1,orange
247,224,26,0,yellow
255,198,33,0,yellow
216,34,34,2,red
12,6,24,7,black
132,40,179,3,violet
4,47,232,4,blue
253,124,23,1,orange
40,186,40,5,green
151,9,213,3,violet
17,75,203,4,blue
253,122,24,1,orange
6,46,188,4,blue
235,220,39,0,yellow
214,228,228,6,white
125,19,224,3,violet
223,246,247,6,white
0,175,19,5,green
220,215,244,6,white
110,42,213,3,violet
24,194,21,5,green
246,118,8,1,orange
255,216,2,0,yellow
146,8,209,3,violet
225,212,23,0,yellow
31,33,12,7,black
244,230,3,0,yellow
241,236,25,0,yellow
231,26,29,2,red
11,38,192,4,blue
254,235,0,0,yellow
217,93,11,1,orange
234,201,32,0,yellow
19,30,20,7,black
209,2,2,2,red
18,36,31,7,black
25,31,26,7,black
36,16,12,7,black
124,10,222,3,violet
217,25,26,2,red
221,119,36,1,orange
220,101,32,1,orange
229,110,29,1,orange
36,18,13,7,black
210,220,233,6,white
248,222,225,6,white
12,27,6,7,black
133,37,203,3,violet
235,108,14,1,orange
231,212,228,6,white
245,231,217,6,white
231,0,8,2,red
7,33,35,7,black
248,104,28,1,orange
149,41,221,3,violet
5,16,19,7,black
110,0,202,3,violet
14,183,32,5,green
30,15,21,7,black
34,158,5,5,green
5,176,45,5,green
2,193,26,5,green
155,6,200,3,violet
230,223,225,6,white
234,0,23,2,red
242,246,236,6,white
239,97,36,1,orange
0,73,201,4,blue
33,7,30,7,black
225,0,35,2,red
205,0,0,2,red
231,221,241,6,white
206,117,30,1,orange
130,2,192,3,violet
7,36,215,4,blue
232,221,234,6,white
212,86,11,1,orange
37,23,8,7,black
247,243,240,6,white
211,8,17,2,red
245,237,2,0,yellow
190,19,30,2,red
220,4,0,2,red
26,11,34,7,black
189,36,10,2,red
0,180,45,5,green
31,37,5,7,black
205,88,39,1,orange
15,46,223,4,blue
114,43,223,3,violet
32,23,16,7,black
119,6,179,3,violet
225,210,230,6,white
212,87,0,1,orange
232,199,44,0,yellow
219,239,0,0,yellow
33,27,21,7,black
215,101,1,1,orange
37,171,27,5,green
239,242,236,6,white
122,35,209,3,violet
233,17,0,2,red
29,70,205,4,blue
24,67,200,4,blue
220,242,241,6,white
15,36,25,7,black
15,34,26,7,black
251,85,0,1,orange
26,168,41,5,green
9,197,10,5,green
117,38,217,3,violet
209,103,32,1,orange
215,0,0,2,red
231,240,212,6,white
32,163,25,5,green
36,16,22,7,black
236,127,6,1,orange
233,211,41,0,yellow
223,0,0,2,red
31,16,8,7,black
39,60,197,4,blue
255,234,9,0,yellow
246,208,29,0,yellow
244,122,0,1,orange
0,59,233,4,blue
122,3,221,3,violet
115,2,183,3,violet
247,233,0,0,yellow
125,30,215,3,violet
228,122,31,1,orange
216,38,0,2,red
130,8,194,3,violet
40,68,205,4,blue
20,183,18,5,green
246,120,14,1,orange
18,186,24,5,green
223,125,35,1,orange
246,127,19,1,orange
253,130,40,1,orange
9,199,10,5,green
242,101,0,1,orange
132,39,209,3,violet
153,20,200,3,violet
153,44,200,3,violet
210,226,250,6,white
247,220,38,0,yellow
231,26,14,2,red
244,88,0,1,orange
22,2,15,7,black
140,0,198,3,violet
209,118,6,1,orange
15,194,53,5,green
45,197,17,5,green
7,185,17,5,green
16,190,7,5,green
215,212,232,6,white
195,0,8,2,red
38,27,12,7,black
225,0,3,2,red
0,42,213,4,blue
138,34,184,3,violet
246,90,2,1,orange
247,125,28,1,orange
242,122,6,1,orange
39,200,36,5,green
221,228,222,6,white
124,32,209,3,violet
9,167,36,5,green
23,67,233,4,blue
207,87,31,1,orange
213,104,10,1,orange
223,0,33,2,red
214,123,0,1,orange
238,217,240,6,white
12,155,24,5,green
255,220,3,0,yellow
254,95,26,1,orange
205,19,21,2,red
213,24,0,2,red
240,220,220,6,white
133,42,192,3,violet
222,240,227,6,white
248,126,17,1,orange
215,87,25,1,orange
111,45,176,3,violet
222,101,31,1,orange
116,8,220,3,violet
231,211,212,6,white
217,225,9,0,yellow
44,197,29,5,green
217,116,24,1,orange
244,233,213,6,white
251,113,24,1,orange
0,180,45,5,green
34,39,209,4,blue
208,115,23,1,orange
213,96,36,1,orange
221,132,34,1,orange
218,235,230,6,white
235,25,29,2,red
196,39,35,2,red
236,212,223,6,white
8,31,34,7,black
5,35,187,4,blue
223,234,29,0,yellow
33,20,4,7,black
152,8,205,3,violet
226,241,235,6,white
29,205,12,5,green
120,25,222,3,violet
192,0,10,2,red
190,13,24,2,red
255,216,38,0,yellow
204,3,23,2,red
2,13,16,7,black
251,220,40,0,yellow
252,239,35,0,yellow
233,131,34,1,orange
12,163,30,5,green
0,202,9,5,green
16,78,200,4,blue
225,239,249,6,white
250,231,18,0,yellow
139,6,200,3,violet
212,116,37,1,orange
253,242,40,0,yellow
251,131,24,1,orange
22,74,205,4,blue
0,58,224,4,blue
130,19,214,3,violet
19,27,26,7,black
120,18,217,3,violet
105,17,220,3,violet
218,230,237,6,white
255,236,0,0,yellow
213,116,0,1,orange
12,15,38,7,black
216,127,26,1,orange
21,36,34,7,black
235,237,13,0,yellow
25,199,22,5,green
229,225,240,6,white
5,2,12,7,black
219,215,220,6,white
126,0,212,3,violet
194,39,19,2,red
36,190,19,5,green
24,173,15,5,green
155,37,217,3,violet
228,101,0,1,orange
30,176,41,5,green
9,7,25,7,black
35,174,18,5,green
37,12,28,7,black
25,40,207,4,blue
203,31,14,2,red
211,11,0,2,red
18,177,26,5,green
224,98,37,1,orange
35,9,5,7,black
30,11,32,7,black
203,14,29,2,red
15,8,3,7,black
241,250,240,6,white
18,68,193,4,blue
2,30,36,7,black
38,28,16,7,black
32,57,231,4,blue
221,0,0,2,red
0,82,231,4,blue
13,3,13,7,black
19,171,15,5,green
204,30,30,2,red
242,222,213,6,white
117,4,187,3,violet
215,37,38,2,red
250,111,33,1,orange
155,22,214,3,violet
145,4,189,3,violet
16,2,10,7,black
0,53,202,4,blue
0,168,42,5,green
222,129,13,1,orange
234,219,246,6,white
7,73,197,4,blue
208,2,11,2,red
31,205,17,5,green
214,215,226,6,white
255,206,27,0,yellow
203,0,13,2,red
215,247,217,6,white
223,26,29,2,red
29,27,22,7,black
250,227,219,6,white
226,241,239,6,white
242,227,250,6,white
238,213,5,0,yellow
213,22,0,2,red
234,234,249,6,white
234,245,230,6,white
235,89,11,1,orange
225,211,28,0,yellow
197,30,12,2,red
224,116,25,1,orange
3,62,218,4,blue
255,223,34,0,yellow
0,166,21,5,green
29,156,8,5,green
238,97,12,1,orange
0,181,38,5,green
21,166,38,5,green
250,233,15,0,yellow
25,30,18,7,black
196,25,19,2,red
231,236,8,0,yellow
210,12,20,2,red
238,236,250,6,white
188,17,0,2,red
223,230,0,0,yellow
149,30,194,3,violet
229,27,0,2,red
29,13,22,7,black
6,166,6,5,green
31,25,30,7,black
210,127,12,1,orange
112,0,219,3,violet
0,39,201,4,blue
33,28,5,7,black
23,179,51,5,green
215,216,44,0,yellow
24,10,25,7,black
227,220,16,0,yellow
198,10,2,2,red
234,12,28,2,red
207,33,12,2,red
240,116,0,1,orange
224,0,38,2,red
130,42,214,3,violet
236,231,216,6,white
208,123,0,1,orange
235,211,15,0,yellow
3,3,36,7,black
13,38,24,7,black
221,135,0,1,orange
255,207,0,0,yellow
29,37,21,7,black
219,12,11,2,red
44,189,48,5,green
217,215,226,6,white
15,200,35,5,green
223,27,30,2,red
5,165,11,5,green
135,2,206,3,violet
27,13,27,7,black
144,22,179,3,violet
225,100,16,1,orange
28,169,52,5,green
23,22,16,7,black
3,18,20,7,black
131,23,180,3,violet
234,217,1,0,yellow
236,234,234,6,white
239,220,227,6,white
5,45,205,4,blue
216,231,236,6,white
245,235,6,0,yellow
128,0,182,3,violet
28,37,38,7,black
35,37,12,7,black
206,106,17,1,orange
11,63,235,4,blue
37,66,212,4,blue
225,224,224,6,white
0,40,186,4,blue
35,82,196,4,blue
8,45,219,4,blue
226,226,28,0,yellow
106,7,187,3,violet
0,167,18,5,green
194,36,0,2,red
215,108,0,1,orange
235,0,19,2,red
230,214,2,0,yellow
225,212,240,6,white
8,183,15,5,green
215,233,243,6,white
13,168,32,5,green
185,0,33,2,red
205,124,31,1,orange
0,171,28,5,green
229,219,39,0,yellow
240,235,243,6,white
224,29,7,2,red
235,0,31,2,red
214,216,245,6,white
248,125,0,1,orange
0,162,24,5,green
132,23,219,3,violet
110,16,195,3,violet
219,26,20,2,red
18,26,14,7,black
232,230,39,0,yellow
6,84,235,4,blue
247,215,250,6,white
223,223,230,6,white
233,32,24,2,red
145,4,188,3,violet
226,195,42,0,yellow
41,156,50,5,green
4,164,52,5,green
237,215,231,6,white
192,11,0,2,red
220,240,234,6,white
237,225,242,6,white
125,20,212,3,violet
233,30,0,2,red
245,213,226,6,white
44,187,26,5,green
215,218,216,6,white
255,235,0,0,yellow
41,158,23,5,green
255,219,20,0,yellow
22,196,24,5,green
254,131,2,1,orange
187,15,0,2,red
255,207,0,0,yellow
25,84,205,4,blue
38,17,29,7,black
232,13,27,2,red
231,235,220,6,white
15,188,35,5,green
237,216,219,6,white
0,52,228,4,blue
14,9,37,7,black
218,1,26,2,red
153,21,198,3,violet
113,4,196,3,violet
26,17,4,7,black
0,77,203,4,blue
237,234,22,0,yellow
9,203,50,5,green
34,186,45,5,green
11,17,21,7,black
225,0,14,2,red
220,108,21,1,orange
22,20,35,7,black
0,60,227,4,blue
255,236,0,0,yellow
216,214,31,0,yellow
36,78,203,4,blue
207,0,8,2,red
222,0,29,2,red
232,214,213,6,white
13,28,23,7,black
255,225,23,0,yellow
105,9,176,3,violet
227,122,37,1,orange
26,191,35,5,green
217,33,13,2,red
230,247,234,6,white
27,178,6,5,green
14,173,11,5,green
0,174,35,5,green
240,237,220,6,white
253,198,45,0,yellow
247,229,26,0,yellow
235,126,39,1,orange
4,171,53,5,green
144,34,225,3,violet
225,0,0,2,red
215,34,0,2,red
217,225,218,6,white
31,30,7,7,black
217,241,24,0,yellow
17,65,204,4,blue
241,197,15,0,yellow
208,0,0,2,red
30,66,191,4,blue
227,114,6,1,orange
29,175,11,5,green
208,128,9,1,orange
44,202,30,5,green
241,217,216,6,white
29,24,31,7,black
222,244,5,0,yellow
230,8,17,2,red
36,186,51,5,green
219,232,230,6,white
22,57,207,4,blue
235,40,30,2,red
5,68,224,4,blue
32,35,33,7,black
40,46,207,4,blue
144,24,196,3,violet
187,34,28,2,red
131,25,221,3,violet
132,35,190,3,violet
238,238,219,6,white
221,235,224,6,white
220,221,224,6,white
9,11,36,7,black
236,113,0,1,orange
231,227,244,6,white
218,212,223,6,white
17,188,43,5,green
4,25,16,7,black
26,177,26,5,green
232,7,27,2,red
131,0,182,3,violet
18,171,44,5,green
238,110,28,1,orange
30,26,5,7,black
0,53,194,4,blue
188,0,26,2,red
132,19,176,3,violet
8,10,9,7,black
22,156,30,5,green
254,233,27,0,yellow
120,26,207,3,violet
16,70,202,4,blue
6,83,220,4,blue
243,233,214,6,white
10,32,15,7,black
150,9,194,3,violet
19,29,2,7,black
209,132,33,1,orange
26,156,44,5,green
0,181,26,5,green
7,27,10,7,black
141,35,213,3,violet
0,54,185,4,blue
32,11,28,7,black
233,207,0,0,yellow
236,103,6,1,orange
225,215,40,0,yellow
233,0,28,2,red
255,245,30,0,yellow
211,114,0,1,orange
225,206,21,0,yellow
188,32,5,2,red
26,12,23,7,black
130,21,222,3,violet
221,36,12,2,red
222,196,42,0,yellow
233,214,5,0,yellow
139,21,205,3,violet
0,57,226,4,blue
223,232,222,6,white
0,54,202,4,blue
7,185,12,5,green
21,3,8,7,black
2,203,21,5,green
199,2,33,2,red
214,88,34,1,orange
43,199,9,5,green
37,16,18,7,black
237,110,30,1,orange
36,46,210,4,blue
5,75,207,4,blue
39,64,220,4,blue
31,49,204,4,blue
217,238,231,6,white
254,200,0,0,yellow
232,127,36,1,orange
245,219,225,6,white
43,168,31,5,green
35,37,223,4,blue
39,162,23,5,green
141,23,196,3,violet
217,221,246,6,white
146,0,209,3,violet
226,232,224,6,white
20,72,187,4,blue
242,236,238,6,white
228,0,3,2,red
31,52,226,4,blue
9,192,15,5,green
10,169,45,5,green
205,12,28,2,red
39,77,218,4,blue
20,36,10,7,black
0,202,48,5,green
1,158,45,5,green
22,27,26,7,black
25,47,204,4,blue
110,45,216,3,violet
211,249,230,6,white
21,23,8,7,black
244,215,230,6,white
224,132,29,1,orange
42,157,48,5,green
214,32,0,2,red
189,7,39,2,red
117,38,196,3,violet
1,80,234,4,blue
189,14,32,2,red
17,6,10,7,black
252,88,38,1,orange
255,217,20,0,yellow
239,216,0,0,yellow
28,12,10,7,black
212,16,0,2,red
29,29,28,7,black
6,36,26,7,black
206,98,0,1,orange
255,238,20,0,yellow
236,245,13,0,yellow
37,67,235,4,blue
198,29,19,2,red
213,238,218,6,white
241,198,8,0,yellow
0,187,28,5,green
31,44,234,4,blue
113,4,199,3,violet
3,28,7,7,black
233,225,243,6,white
29,12,13,7,black
105,38,192,3,violet
0,52,214,4,blue
17,63,212,4,blue
123,45,184,3,violet
206,112,31,1,orange
253,129,26,1,orange
38,69,191,4,blue
221,115,34,1,orange
138,32,187,3,violet
219,18,33,2,red
248,224,0,0,yellow
36,80,233,4,blue
23,64,188,4,blue
239,238,42,0,yellow
243,110,32,1,orange
229,231,216,6,white
235,248,215,6,white
155,30,223,3,violet
32,55,201,4,blue
189,9,32,2,red
3,35,212,4,blue
125,24,210,3,violet
0,53,199,4,blue
14,62,210,4,blue
28,18,3,7,black
222,112,14,1,orange
5,180,18,5,green
43,205,31,5,green
246,85,0,1,orange
209,12,4,2,red
227,233,226,6,white
0,35,227,4,blue
29,156,44,5,green
231,121,19,1,orange
218,202,28,0,yellow
1,81,191,4,blue
218,32,5,2,red
105,7,215,3,violet
197,8,18,2,red
233,219,21,0,yellow
245,213,248,6,white
9,188,11,5,green
213,97,11,1,orange
224,31,7,2,red
211,86,14,1,orange
234,0,35,2,red
22,82,229,4,blue
0,54,232,4,blue
16,178,37,5,green
237,129,16,1,orange
39,178,33,5,green
217,214,26,0,yellow
213,96,10,1,orange
213,15,0,2,red
20,164,12,5,green
246,226,223,6,white
32,4,25,7,black
245,240,212,6,white
114,22,176,3,violet
33,63,227,4,blue
3,12,2,7,black
245,239,249,6,white
18,156,25,5,green
217,236,210,6,white
249,127,0,1,orange
20,55,233,4,blue
241,241,1,0,yellow
233,199,19,0,yellow
38,191,54,5,green
10,12,32,7,black
5,27,25,7,black
37,16,37,7,black
21,66,187,4,blue
18,187,29,5,green
105,34,187,3,violet
250,111,8,1,orange
19,10,15,7,black
129,31,222,3,violet
236,111,33,1,orange
255,228,24,0,yellow
221,0,21,2,red
118,23,219,3,violet
220,222,33,0,yellow
35,17,23,7,black
186,8,2,2,red
4,17,24,7,black
250,132,31,1,orange
214,238,211,6,white
241,248,224,6,white
152,32,187,3,violet
26,69,189,4,blue
236,229,17,0,yellow
16,38,5,7,black
0,54,210,4,blue
213,113,0,1,orange
110,1,202,3,violet
213,133,0,1,orange
22,12,9,7,black
234,207,19,0,yellow
220,0,14,2,red
36,36,8,7,black
22,53,202,4,blue
194,29,8,2,red
248,212,214,6,white
213,122,4,1,orange
19,30,10,7,black
11,44,225,4,blue
5,155,38,5,green
2,60,206,4,blue
220,120,28,1,orange
222,15,19,2,red
24,200,36,5,green
245,197,35,0,yellow
17,36,229,4,blue
211,0,27,2,red
237,113,21,1,orange
145,34,181,3,violet
255,243,26,0,yellow
20,5,18,7,black
4,167,54,5,green
253,228,13,0,yellow
221,214,239,6,white
13,12,3,7,black
238,219,228,6,white
155,39,196,3,violet
36,179,40,5,green
0,56,207,4,blue
250,214,9,0,yellow
146,40,199,3,violet
213,35,6,2,red
17,53,194,4,blue
252,131,12,1,orange
234,30,1,2,red
227,120,20,1,orange
11,18,15,7,black
0,69,221,4,blue
105,0,218,3,violet
20,168,16,5,green
207,0,34,2,red
8,83,215,4,blue
255,86,14,1,orange
213,93,16,1,orange
22,36,34,7,black
18,77,192,4,blue
12,11,20,7,black
219,197,37,0,yellow
12,161,9,5,green
233,39,7,2,red
0,45,203,4,blue
16,53,223,4,blue
35,201,16,5,green
227,218,216,6,white
240,212,233,6,white
4,164,42,5,green
230,116,0,1,orange
153,37,219,3,violet
0,76,204,4,blue
233,9,17,2,red
36,6,3,7,black
36,168,14,5,green
219,101,16,1,orange
8,32,33,7,black
21,17,7,7,black
243,213,249,6,white
15,199,20,5,green
219,129,12,1,orange
231,129,13,1,orange
230,39,3,2,red
4,159,53,5,green
229,21,2,2,red
236,121,40,1,orange
217,0,32,2,red
30,46,190,4,blue
24,173,33,5,green
255,134,0,1,orange
255,245,34,0,yellow
0,197,46,5,green
19,51,215,4,blue
26,202,41,5,green
249,248,244,6,white
0,162,48,5,green
220,32,39,2,red
214,87,0,1,orange
0,162,17,5,green
243,131,28,1,orange
42,179,45,5,green
41,184,21,5,green
250,245,42,0,yellow
235,104,0,1,orange
226,116,12,1,orange
226,199,33,0,yellow
224,249,218,6,white
0,85,209,4,blue
220,209,38,0,yellow
250,221,34,0,yellow
133,5,183,3,violet
233,225,235,6,white
255,244,31,0,yellow
249,89,12,1,orange
13,43,224,4,blue
234,17,26,2,red
7,68,205,4,blue
238,108,34,1,orange
117,0,188,3,violet
0,54,221,4,blue
36,32,36,7,black
0,52,229,4,blue
247,242,3,0,yellow
0,57,189,4,blue
197,4,0,2,red
13,11,6,7,black
222,201,10,0,yellow
45,189,42,5,green
0,81,200,4,blue
209,115,2,1,orange
33,3,37,7,black
230,14,20,2,red
116,39,211,3,violet
231,220,248,6,white
255,222,41,0,yellow
214,250,239,6,white
0,187,53,5,green
128,10,187,3,violet
238,214,41,0,yellow
26,66,187,4,blue
224,37,26,2,red
222,241,223,6,white
228,101,5,1,orange
0,57,204,4,blue
24,84,195,4,blue
9,38,24,7,black
228,198,32,0,yellow
234,218,45,0,yellow
29,186,23,5,green
146,4,211,3,violet
0,63,195,4,blue
215,208,14,0,yellow
249,133,4,1,orange
140,0,193,3,violet
0,46,226,4,blue
218,0,0,2,red
4,190,10,5,green
230,98,19,1,orange
210,103,0,1,orange
215,26,37,2,red
3,25,19,7,black
12,2,5,7,black
219,132,9,1,orange
105,0,207,3,violet
116,27,177,3,violet
33,163,38,5,green
204,15,0,2,red
209,90,14,1,orange
4,18,23,7,black
0,68,191,4,blue
30,179,55,5,green
234,231,238,6,white
219,18,0,2,red
147,29,203,3,violet
202,6,0,2,red
20,73,225,4,blue
234,220,40,0,yellow
30,18,10,7,black
32,202,7,5,green
229,117,27,1,orange
18,62,227,4,blue
230,112,10,1,orange
0,56,198,4,blue
6,34,14,7,black
206,88,34,1,orange
40,171,23,5,green
5,78,225,4,blue
251,125,21,1,orange
20,37,11,7,black
217,219,235,6,white
153,36,182,3,violet
5,182,22,5,green
20,31,35,7,black
6,33,15,7,black
132,14,211,3,violet
34,51,224,4,blue
255,93,0,1,orange
241,233,33,0,yellow
29,80,194,4,blue
246,224,43,0,yellow
188,0,14,2,red
9,47,220,4,blue
245,196,34,0,yellow
32,174,28,5,green
0,39,216,4,blue
38,54,195,4,blue
213,5,27,2,red
210,106,28,1,orange
135,0,196,3,violet
245,90,35,1,orange
6,26,36,7,black
217,239,236,6,white
152,8,222,3,violet
233,11,4,2,red
226,124,32,1,orange
255,224,12,0,yellow
215,213,41,0,yellow
247,242,38,0,yellow
211,244,220,6,white
39,69,203,4,blue
255,226,13,0,yellow
253,199,19,0,yellow
31,85,221,4,blue
26,21,27,7,black
4,168,24,5,green
240,89,26,1,orange
250,237,245,6,white
187,32,14,2,red
142,41,214,3,violet
222,90,31,1,orange
220,217,239,6,white
200,5,10,2,red
237,242,241,6,white
251,131,32,1,orange
17,156,13,5,green
212,237,241,6,white
231,242,25,0,yellow
128,5,221,3,violet
252,217,0,0,yellow
215,232,215,6,white
0,49,225,4,blue
2,75,190,4,blue
249,223,235,6,white
105,5,206,3,violet
210,1,34,2,red
209,101,0,1,orange
0,39,188,4,blue
4,17,32,7,black
41,159,5,5,green
23,186,42,5,green
122,4,219,3,violet
197,21,15,2,red
255,205,24,0,yellow
197,23,33,2,red
251,90,36,1,orange
247,107,22,1,orange
235,226,210,6,white
7,46,201,4,blue
255,212,0,0,yellow
0,53,204,4,blue
246,235,23,0,yellow
221,93,0,1,orange
19,191,47,5,green
153,4,200,3,violet
222,0,20,2,red
213,224,215,6,white
231,243,10,0,yellow
124,0,183,3,violet
35,193,35,5,green
193,29,7,2,red
218,211,25,0,yellow
230,107,32,1,orange
192,33,26,2,red
11,195,19,5,green
255,244,32,0,yellow
196,31,21,2,red
0,46,214,4,blue
10,27,13,7,black
226,203,25,0,yellow
246,206,42,0,yellow
2,196,17,5,green
239,209,44,0,yellow
255,214,27,0,yellow
198,9,20,2,red
108,14,214,3,violet
0,205,49,5,green
229,225,245,6,white
255,238,32,0,yellow
31,44,217,4,blue
30,10,28,7,black
26,10,29,7,black
21,23,18,7,black
149,0,200,3,violet
150,45,216,3,violet
135,14,213,3,violet
27,175,55,5,green
23,23,5,7,black
255,236,39,0,yellow
214,243,221,6,white
7,28,6,7,black
148,28,200,3,violet
207,112,0,1,orange
27,15,28,7,black
224,207,33,0,yellow
25,7,30,7,black
12,83,203,4,blue
155,37,214,3,violet
4,10,34,7,black
232,0,28,2,red
0,40,230,4,blue
246,95,22,1,orange
26,36,38,7,black
2,205,15,5,green
248,244,246,6,white
207,0,13,2,red
135,12,212,3,violet
253,203,11,0,yellow
213,0,36,2,red
149,3,196,3,violet
3,184,54,5,green
255,228,19,0,yellow
205,95,21,1,orange
14,191,17,5,green
218,245,16,0,yellow
227,225,249,6,white
30,72,191,4,blue
0,183,33,5,green
225,93,14,1,orange
250,240,213,6,white
36,175,52,5,green
138,45,193,3,violet
246,131,29,1,orange
231,245,45,0,yellow
5,178,15,5,green
21,74,188,4,blue
26,27,36,7,black
36,14,17,7,black
5,48,205,4,blue
241,234,244,6,white
137,32,220,3,violet
248,223,2,0,yellow
216,234,240,6,white
20,22,25,7,black
139,5,193,3,violet
2,185,34,5,green
232,0,0,2,red
255,202,36,0,yellow
